line_names,relative_flux
Hdelta,1.066
Hgamma,2.616
Hbeta,8.649
Halpha,30.832
MgIId,14.725
CII]2326,0.183
CIII]1908,15.943
SiIII]1892,0.158
NIII1750,0.382
OIV]1402,1e-05
OIII]1663,0.48
AlII]2669,0.067
OIII2672,1e-05
HeI3188,0.445
HeI3588,1e-05
OIII3133,0.326
HeI3889,0.02
HII4687,0.139
HeI5877,0.798
HeI7067,0.451
SiII1306,1e-05
AlII1670,1e-05
NIV1718,0.258
AlII1721,1e-05
SiII1816,0.13
AlIII1857,0.333
HeII1640,0.521
CIV1548,12.6455
CIV1550,6.32275e-05
SiIV1396,8.916
CII1335,0.688
OI1304,1.992
SiII1262,0.306
NV1240,2.461
CIII1175,0.87
Lya1215,100.0
