line_names,relative_flux
Hdelta,0.03198
Hgamma,0.07848
Hbeta,0.25947
Halpha,2.15824
[OII]3726,0.212
[OII]3729,0.212
[SII]6718,0.276
[SII]6733,0.244
[OIII]5007d,2.49
[OI]6300d,0.179
[NII]6583d,1.026
[NI]5200d,0.098
MgIId,0.00103075
[OII]7321,0.359
[NiIII]7892,0.096
[NeIII]3968,0.104
[NeIII]3869,0.345
[NeIV]2424,0.473
[NeV]3346,0.118
[NeV]3426,0.405
[OIII]4364,0.11
[OII]2471,0.092
[NeIII]1814,1e-05
[SII]4073,1e-05
[CaV]5310,1e-05
[ArIII]7137,0.082
CII]2326,1.281e-05
CIII]1908,0.00111601
SiIII]1892,1.1059999999999999e-05
NIII1750,2.6739999999999998e-05
OIV]1402,7e-10
OIII]1663,3.36e-05
AlII]2669,4.69e-06
OIII2672,7e-10
HeI3188,0.013349999999999999
HeI3588,3.0000000000000004e-07
OIII3133,0.00978
HeI3889,0.0006
HII4687,0.00417
HeI5877,0.02394
HeI7067,0.03157
SiII1306,7e-10
AlII1670,7e-10
NIV1718,1.806e-05
AlII1721,7e-10
SiII1816,9.1e-06
AlIII1857,2.331e-05
HeII1640,3.647e-05
SiIV1396,0.0006241199999999999
CII1335,4.815999999999999e-05
OI1304,0.00013943999999999998
SiII1262,2.1419999999999998e-05
NV1240,0.00017226999999999998
CIVd,0.000126455
CIII1175,6.0899999999999996e-05
Lya1215,0.006999999999999999
